user_id,total_ratings,avg_rating,unique_titles,cluster
0,75,3.64,75,3
1,70,2.23,70,0
2,45,4.73,45,2
3,45,3.73,45,2
4,70,3.79,70,3
5,75,1.73,75,0
6,45,4.16,45,2
7,75,2.37,75,0
8,75,2.73,75,0
9,70,4.2,70,3
10,34,3.97,34,2
11,75,3.0,75,0
12,46,4.35,46,2
13,75,4.01,75,3
14,75,2.83,75,0
15,75,2.91,75,0
16,50,3.38,50,2
17,75,3.83,75,3
18,46,3.46,46,2
19,52,2.98,52,0
20,52,2.92,52,0
21,47,3.3,47,2
22,70,3.71,70,3
23,75,2.87,75,0
24,70,3.37,70,3
25,66,4.08,66,3
26,58,3.31,58,3
27,70,2.54,70,0
28,53,3.6,53,3
29,45,3.71,45,2
30,75,3.55,75,3
31,53,3.38,53,3
32,75,3.41,75,3
33,36,3.06,36,2
34,75,3.96,75,3
35,40,3.25,40,2
36,71,4.18,71,3
37,47,3.49,47,2
38,75,3.97,75,3
39,46,2.89,46,2
40,70,2.81,70,0
41,48,3.58,48,2
42,44,3.95,44,2
43,75,3.07,75,0
44,75,4.43,75,3
45,70,3.11,70,0
46,70,4.37,70,3
47,70,2.96,70,0
48,71,2.82,71,0
49,75,3.08,75,0
50,75,3.47,75,3
51,60,3.53,60,3
52,39,3.08,39,2
53,75,2.27,75,0
54,42,3.29,42,2
55,52,3.04,52,0
56,75,3.19,75,3
57,61,3.1,61,0
58,75,2.03,75,0
59,61,3.61,61,3
60,70,4.21,70,3
61,75,3.33,75,3
62,39,3.74,39,2
63,75,2.56,75,0
64,71,2.75,71,0
65,58,3.69,58,3
66,70,2.97,70,0
67,70,3.89,70,3
68,45,2.11,45,1
69,63,3.38,63,3
70,75,3.21,75,3
71,67,2.37,67,0
72,75,2.07,75,0
73,64,4.44,64,3
74,75,3.08,75,0
75,46,2.76,46,1
76,75,2.95,75,0
77,52,4.02,52,3
78,75,3.29,75,3
79,51,2.96,51,0
80,35,3.4,35,2
81,49,2.88,49,0
82,75,2.59,75,0
